time,displacement,force
0,0,0
0.02,0.102244058,0.00279332
0.04,0.138849943,0.003772898
0.06,0.173325744,0.004634138
0.08,0.211193901,0.005311296
0.1,0.251192142,0.005949008
0.12,0.291821519,0.006783951
0.14,0.332687572,0.00740194
0.16,0.373711408,0.00811197
0.18,0.413236297,0.008756257
0.2,0.452051159,0.00953203
0.22,0.491497156,0.010117147
0.24,0.530706477,0.010820603
0.26,0.572203666,0.011629248
0.28,0.614016423,0.012345852
0.3,0.654488016,0.013220241
0.32,0.694407365,0.01419982
0.34,0.732433307,0.014896701
0.36,0.7709326,0.015613305
0.38,0.808011838,0.01642195
0.4,0.848641215,0.017072811
0.42,0.890453973,0.017855159
0.44,0.932503406,0.018486297
0.46,0.973290568,0.019281793
0.48,1.015182217,0.019945803
0.5,1.054470431,0.020708427
0.52,1.092575265,0.021273822
0.54,1.135019158,0.022187656
0.56,1.175175184,0.022825369
0.58,1.216199022,0.023640588
0.6,1.255960588,0.024370341
0.62,1.296353289,0.025178986
0.64,1.334773691,0.025856145
0.66,1.373509662,0.026684513
0.68,1.412245632,0.027361671
0.7,1.453348362,0.028117721
0.72,1.492952144,0.02879488
0.74,1.532634818,0.029669268
0.76,1.572317492,0.030392447
0.78,1.612867978,0.031187943
0.8,1.651919517,0.031851953
0.82,1.691681083,0.03254226
0.84,1.730180378,0.033344331
0.86,1.770415296,0.033995191
0.88,1.810334647,0.034803837
0.9,1.851121809,0.035638779
0.92,1.891198944,0.036526317
0.94,1.930487158,0.037236347
0.96,1.969617589,0.038018694
0.98,2.006933504,0.038925955
1,2.045353907,0.039879236
1.02,2.083379849,0.040720753
1.04,2.123851444,0.041542547
1.06,2.162035171,0.042449807
1.08,2.202033414,0.043041499
1.1,2.239901573,0.043744954
1.12,2.28124098,0.044454984
1.14,2.320292519,0.044987507
1.16,2.359344058,0.045618644
1.18,2.398001138,0.046453587
1.2,2.436184865,0.047104448
1.22,2.473658564,0.047913093
1.24,2.511368939,0.048761184
1.26,2.550262695,0.049550106
1.28,2.58797307,0.050319305
1.3,2.62702461,0.051114802
1.32,2.663867173,0.051837981
1.34,2.700709737,0.052646626
1.36,2.738499004,0.053428974
1.38,2.7769983,0.054191598
1.4,2.816207624,0.054809587
1.42,2.855574731,0.055480171
1.44,2.894152919,0.056111309
1.46,2.932336647,0.056906805
1.48,2.973044919,0.057708876
1.5,3.003102771,0.058458352
1.52,3.037815251,0.059280146
1.54,3.074815599,0.060062494
1.56,3.109685863,0.060746226
1.58,3.145897291,0.061633764
1.6,3.184791047,0.062448983
1.62,3.223132559,0.06309327
1.64,3.261474071,0.063987381
1.66,3.301393423,0.064664539
1.68,3.342496156,0.065177339
1.7,3.383756672,0.065775605
1.72,3.424070484,0.066426466
1.74,3.463595377,0.066899819
1.76,3.502568025,0.067688741
1.78,3.539489482,0.068490812
1.8,3.576963182,0.069273159
1.82,3.613490179,0.070134399
1.84,3.65056942,0.071008788
1.86,3.688200904,0.071738541
1.88,3.726147957,0.072284212
1.9,3.763542766,0.07302054
1.92,3.802120955,0.073809462
1.94,3.83975244,0.074539215
1.96,3.877541709,0.075084886
1.98,3.916751034,0.075900105
2,3.954066951,0.076603561
2.02,3.991303976,0.077162381
2.04,4.027830973,0.077938154
2.06,4.06475243,0.078766522
2.08,4.100727183,0.079417383
2.1,4.136386368,0.080127413
2.12,4.173386718,0.080890038
2.14,4.209992607,0.081455432
2.16,4.247466308,0.082158887
2.18,4.282731034,0.082849194
2.2,4.320046951,0.08355265
2.22,4.357915113,0.084164064
2.24,4.396966654,0.084795202
2.26,4.433730328,0.085492083
2.28,4.47199295,0.086142944
2.3,4.508756623,0.086747784
2.32,4.544573593,0.087543281
2.34,4.581889511,0.088384797
2.36,4.618810969,0.089246037
2.38,4.655022398,0.090271636
2.4,4.691549396,0.091053984
2.42,4.727839718,0.091816609
2.44,4.762631092,0.092474044
2.46,4.797659142,0.092914525
2.48,4.833949464,0.093532514
2.5,4.870634246,0.094222821
2.52,4.906293432,0.094834235
2.54,4.94282043,0.095590286
2.56,4.980294133,0.096484398
2.58,5.016978915,0.097082663
2.6,5.055004862,0.097746673
2.62,5.093583052,0.098542169
2.64,5.129873375,0.099015523
2.66,5.166558157,0.099528322
2.68,5.204741888,0.100323818
2.7,5.241742238,0.101014125
2.72,5.278821481,0.101540073
2.74,5.318661944,0.102131765
2.76,5.357240135,0.102815497
2.78,5.395266082,0.103334871
2.8,5.433292029,0.10384767
2.82,5.47147576,0.104413064
2.84,5.50729273,0.105188838
2.86,5.544450866,0.105819975
2.88,5.580977865,0.106378795
2.9,5.61853046,0.107088825
2.92,5.656556407,0.107812004
2.94,5.693872326,0.108403695
2.96,5.731030461,0.109087428
2.98,5.768740841,0.109580504
3,5.805504516,0.11022479
3.02,5.840769243,0.110731015
3.04,5.877927379,0.111316133
3.06,5.91492773,0.111894675
3.08,5.950192458,0.112637577
3.1,5.986640565,0.113229269
3.12,6.023877593,0.113834109
3.14,6.061351297,0.114609882
3.16,6.098746109,0.115116107
3.18,6.137403193,0.115655204
3.2,6.17424576,0.116187726
3.22,6.212429492,0.116864884
3.24,6.252427741,0.117219899
3.26,6.292189313,0.117936504
3.28,6.333765402,0.118567641
3.3,6.37376365,0.118981825
3.32,6.415024171,0.119415732
3.34,6.451393387,0.119875937
3.36,6.489261551,0.12019808
3.38,6.525472984,0.120658285
3.4,6.5638145,0.121460355
3.42,6.600735961,0.122111216
3.44,6.639708613,0.122814672
3.46,6.67726121,0.123485255
3.48,6.716864999,0.124109819
3.5,6.756863248,0.124635767
3.52,6.794100277,0.125220884
3.54,6.832126226,0.125937488
3.56,6.870152175,0.126542328
3.58,6.906600283,0.127081425
3.6,6.941470552,0.127581076
3.62,6.978628689,0.127968962
3.64,7.016891314,0.128284531
3.66,7.055785076,0.12879733
3.68,7.093968809,0.129369299
3.7,7.132941462,0.129816355
3.72,7.172545252,0.130513236
3.74,7.212306826,0.131328455
3.76,7.250490559,0.131821532
3.78,7.288832077,0.1323935
3.8,7.328988111,0.132945746
3.82,7.367566305,0.133412524
3.84,7.403383278,0.133760965
3.86,7.44148812,0.134365805
3.88,7.480618558,0.134865456
3.9,7.518960076,0.135417701
3.92,7.558169406,0.135950224
3.94,7.600297741,0.13648932
3.96,7.641952723,0.137100735
3.98,7.683213246,0.137514919
4,7.722738145,0.137981698
4.02,7.761631907,0.138606261
4.04,7.800999022,0.139138784
4.06,7.840445028,0.139572691
4.08,7.880127711,0.140223551
4.1,7.921940478,0.140880986
4.12,7.964463274,0.141282022
4.14,8.005487121,0.141689632
4.16,8.04501202,0.142064369
4.18,8.085404731,0.142590318
4.2,8.123509574,0.142945332
4.22,8.163507825,0.143431834
4.24,8.202796048,0.144003803
4.26,8.242242056,0.14448373
4.28,8.280504683,0.144851894
4.3,8.320108474,0.145331822
4.32,8.357661073,0.145739431
4.34,8.396791513,0.146166764
4.36,8.436710872,0.146705861
4.38,8.476077988,0.147343573
4.4,8.515445104,0.147770906
4.42,8.553865515,0.148283705
4.44,8.591023655,0.148612422
4.46,8.629917419,0.149000309
4.48,8.669600103,0.149302729
4.5,8.709282787,0.149782657
4.52,8.750148851,0.150052205
4.54,8.792198296,0.150591302
4.56,8.831959872,0.151064655
4.58,8.871721449,0.151498562
4.6,8.912824189,0.151952192
4.62,8.95471585,0.15262935
4.64,8.995345239,0.153221042
4.66,9.035816844,0.153648375
4.68,9.077629613,0.15400339
4.7,9.115971134,0.154496466
4.72,9.152024786,0.154838332
4.74,9.188078438,0.155245942
4.76,9.225394362,0.155633828
4.78,9.260580202,0.156126905
4.8,9.299158399,0.156554237
4.82,9.338762192,0.157014442
4.84,9.378681554,0.157218247
4.86,9.416707507,0.157698174
4.88,9.455995732,0.158072912
4.9,9.494100577,0.158421353
4.92,9.531810962,0.158907855
4.94,9.571414755,0.159598162
4.96,9.612675281,0.159953176
4.98,9.651332371,0.160242448
5,9.690383921,0.160558017
5.02,9.730066606,0.160919606
5.04,9.769039264,0.161149708
5.06,9.808643058,0.161478426
5.08,9.848877988,0.162076692
5.1,9.888166214,0.162504024
5.12,9.927296656,0.162740701
5.14,9.964297014,0.163075993
5.16,10.00145516,0.163470454
5.18,10.04027003,0.163753151
5.2,10.08129388,0.16416076
5.22,10.12089768,0.164601242
5.24,10.16286823,0.164929959
5.26,10.20057862,0.165304697
5.28,10.23797343,0.165725456
5.3,10.27410598,0.166080471
5.32,10.3104752,0.166343445
5.34,10.34834337,0.166659014
5.36,10.38936722,0.167040326
5.38,10.4301544,0.1673033
5.4,10.47015265,0.16760572
5.42,10.51117651,0.167967309
5.44,10.54928135,0.168486683
5.46,10.58754398,0.168914016
5.48,10.62572772,0.16922301
5.5,10.66343811,0.169545153
5.52,10.70383083,0.169959337
5.54,10.74327684,0.169952763
5.56,10.78090833,0.170215737
5.58,10.81909207,0.17053788
5.6,10.85790695,0.170978362
5.62,10.89285611,0.171392546
